,DCU,Maynooth U,TU Dublin,Letterkeny,National College of Ireland,TCD,AIT,Dundalk,Waterford,Cork IT,DIT,Blanchardstown,Carlow IT,Galway Mayo,Tallaght,National College of Art & Design,IADT,LIT,UL,Sligo,NUIG,Mary Immaculate College,Total sitting Leaving Cert,Year,Total of main colleges,School,Roll Number
0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,18.0,0.0,0.0,1.0,2.0,2.0,9.0,0.0,1.0,101.0,2013,68.0,st-jarlaths-college,68074M
0,0.0,1.0,1.0,1.0,0.0,15.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,16.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,100.0,2013,113.0,coláiste-iognáid-s.j.,62970K
0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,2.0,0.0,2.0,34.0,0.0,2.0,1.0,11.0,5.0,1.0,0.0,4.0,128.0,2013,110.0,gort-community-school,91498C
0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,22.0,2014,16.0,gaelcholaiste-an-eachreidh,76102K
0,0.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,44.0,0.0,1.0,1.0,2.0,6.0,2.0,0.0,3.0,134.0,2013,122.0,calasanctius-college,63100I
0,0.0,3.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,0.0,2.0,0.0,1.0,4.0,10.0,0.0,3.0,59.0,2013,49.0,glenamaddy-community-school,91514U
0,0.0,1.0,2.0,1.0,0.0,2.0,6.0,0.0,1.0,1.0,2.0,0.0,1.0,21.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,2.0,70.0,2013,68.0,gairmscoil-mhuire,71270G
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,2013,2.0,coláiste-ghobnait,71370K
0,0.0,1.0,1.0,2.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,6.0,0.0,1.0,1.0,3.0,7.0,1.0,0.0,3.0,66.0,2013,47.0,presentation-college,63170G
0,0.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,0.0,1.0,1.0,1.0,6.0,3.0,0.0,1.0,53.0,2013,48.0,scoil-phobail,91412M
